@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003234634584
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.60161256
@ Q1               %le         64.28000144
@ Q2               %le          59.3100025
@ DQ1              %le        -86.18983421
@ DQ2              %le        -81.51516585
@ DXMAX            %le         4.816960286
@ DYMAX            %le                  -0
@ XCOMAX           %le       0.01361252637
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1279846
@ BETYMAX          %le          609.515359
@ XCORMS           %le       0.00459229121
@ YCORMS           %le                   0
@ DXRMS            %le          1.83494418
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "09/11/17"
@ TIME             %08s "08.37.54"
* NAME                                S               BETX               ALFX                MUX                  X                 DX 
$ %s                                %le                %le                %le                %le                %le                %le 
 "BPM.18R4.B1"              9408.578999        170.9954383        -2.42597525        22.38150657     0.007056352158        3.687847355
 "BPM.19R4.B1"              9462.027515        30.93630791       0.4962113409        22.50096003      0.00365638228        1.748885344
 "BPM.20R4.B1"              9515.476031        170.9857884        -2.42589003        22.64498325      0.00442262788        2.601901536
 "BPM.21R4.B1"              9568.924546        30.93778852       0.4961765026        22.76443718    -0.000787608426       0.6753983269
 "BPM.22R4.B1"              9622.373062        170.9926922       -2.425939463        22.90845092    -0.007804179163       0.1729543393
 "BPM.23R4.B1"              9675.821578         30.9368182       0.4962078878        23.02790392    -0.003523231419       0.2802527829
 "BPM.24R4.B1"              9729.270094         170.986497        -2.42588527        23.17192463    -0.003103088644        1.618195354
 "BPM.25R4.B1"               9782.71861        30.93769886        0.496181653        23.29137841     0.001383324804        1.409057896
 "BPM.26R4.B1"              9836.167126        170.9928849       -2.425928169        23.43539298     0.008328882228        3.822558259
 "BPM.27R4.B1"              9889.615642        30.93588011       0.4961900981        23.55484859     0.003289301883        1.633955305
 "BPM.28R4.B1"              9943.064158        170.9885396       -2.425942204        23.69887147     0.001694690173        2.052589742
 "BPM.29R4.B1"              9996.512674        30.93831461       0.4962008944        23.81832287    -0.001939535736         0.47513146
 "BPM.30R4.B1"              10049.96119        170.9892928       -2.425878633        23.96233685    -0.008615423969       0.1196681235
 "BPM.31R4.B1"              10103.40971         30.9364326       0.4961828503        24.08179225    -0.002961370327       0.4242055674
 "BPM.32R4.B1"              10156.85822        170.9903416       -2.425944327        24.22581207   -0.0002379940501        2.173103542
 "BPM.33R4.B1"              10210.30674        30.93779288       0.4962044406        24.34526403     0.002440245343        1.587344386
 "BPM.34R4.B1"              10263.75525        170.9892522         -2.4258791        24.48928048     0.008655681352        3.794058654
 "BPM.33L5.B1"              10317.20377        30.93588028       0.4961687749        24.60873764     0.002548728849         1.46429866
 "BPM.32L5.B1"              10370.65229        170.9918698       -2.425987469        24.75275843    -0.001225668518        1.503873501
 "BPM.31L5.B1"               10424.1008        30.93839413       0.4962225662        24.87220812    -0.002871235118       0.3224191768
 "BPM.30L5.B1"              10477.54932        170.9858107       -2.425830657        25.01622389    -0.008448421266       0.2286751499
 "BPM.29L5.B1"              10530.99783        30.93644633       0.4961624765        25.13568079    -0.002063255376       0.6157691961
 "BPM.28L5.B1"              10584.44635        170.9939556       -2.425987376        25.27969855     0.002654131092        2.704093299
 "BPM.27L5.B1"              10637.89486        30.93748356       0.4962203373        25.39914975     0.003220081851        1.711439315
 "BPM.26L5.B1"              10691.34338        170.9861458       -2.425851078        25.54316904      0.00799964132        3.607415819
 "BPM.25L5.B1"               10744.7919        30.93633998       0.4961572221        25.66262641     0.001518752889        1.255029486
 "BPM.24L5.B1"              10798.24041        170.9942095       -2.426004429        25.80664418    -0.004006849379        1.001693223
 "BPM.23L5.B1"              10851.68893        30.93802301       0.4962321412        25.92609369    -0.003476914382       0.2293807458
 "BPM.22L5.B1"              10905.13744         170.983797       -2.425815566         26.0701119    -0.007322132879       0.4885343954
