@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
 "BPM.27L4.B1"              7306.041648        170.9897794
 "BPM.26L4.B1"              7359.490164        30.93710979
 "BPM.25L4.B1"               7412.93868        170.9897777
 "BPM.24L4.B1"              7466.387196         30.9371102
 "BPM.23L4.B1"              7519.835712         170.989779
 "BPM.22L4.B1"              7573.284228        30.93710974
 "BPM.21L4.B1"              7626.732744        170.9897781
 "BPM.20L4.B1"               7680.18126        30.93711024
 "BPM.19L4.B1"              7733.629775        170.9897785
 "BPM.18L4.B1"              7787.078291        30.93710971
 "BPM.17L4.B1"              7840.526807        170.9897786
 "BPM.16L4.B1"              7893.975323        30.93711025
 "BPM.15L4.B1"              7947.423839         170.989778
 "BPM.14L4.B1"              8000.872355        30.93710972
 "BPM.13L4.B1"              8054.320871        170.9897791
 "BPM.12L4.B1"              8107.769387        33.42701454
 "BPM.11L4.B1"              8161.217903        170.6719456
 "BPMC.10L4.B1"             8213.056613        27.61737856
 "BPMC.9L4.B1"              8252.121624        127.4460953
 "BPMC.8L4.B1"              8292.584634        19.79068032
 "BPMC.7L4.B1"              8331.648645        111.9430864
 "BPMYB.6L4.B1"             8428.252645        125.5494573
 "BPMYA.5L4.B1"             8465.252645        438.8635246
 "BPMWA.B5L4.B1"            8567.719145        260.2745492
 "BPMWA.A5L4.B1"            8576.604145        247.2645757
 "BPMWA.A5R4.B1"            8624.653145        193.4741922
 "BPMWA.B5R4.B1"            8633.538145        186.5908253
 "BPMYB.5R4.B1"             8735.928645        192.9493293
 "BPMYA.6R4.B1"             8767.492645        474.4979541
 "BPMCA.7R4.B1"             8864.008645        78.17902147
 "BPMC.8R4.B1"              8901.797656        112.5997671
 "BPMC.9R4.B1"              8940.862666        16.27981839
 "BPMC.10R4.B1"             8981.325677        158.3374669
 "BPM.11R4.B1"              9033.164387        36.55359146
 "BPM.12R4.B1"              9087.887903        171.7715552
 "BPM.13R4.B1"              9141.336419        30.94128094
 "BPM.14R4.B1"              9194.784935        170.9897794
 "BPM.15R4.B1"              9248.233451        30.93710979
 "BPM.16R4.B1"              9301.681967        170.9897777
 "BPM.17R4.B1"              9355.130483         30.9371102
 "BPM.18R4.B1"              9408.578999         170.989779
 "BPM.19R4.B1"              9462.027515        30.93710974
 "BPM.20R4.B1"              9515.476031        170.9897781
 "BPM.21R4.B1"              9568.924546        30.93711024
 "BPM.22R4.B1"              9622.373062        170.9897785
 "BPM.23R4.B1"              9675.821578        30.93710971
 "BPM.24R4.B1"              9729.270094        170.9897786
 "BPM.25R4.B1"               9782.71861        30.93711025
 "BPM.26R4.B1"              9836.167126         170.989778
 "BPM.27R4.B1"              9889.615642        30.93710972
 "BPM.28R4.B1"              9943.064158        170.9897791
 "BPM.29R4.B1"              9996.512674        30.93711023
 "BPM.30R4.B1"              10049.96119        170.9897775
 "BPM.31R4.B1"              10103.40971        30.93710975
 "BPM.32R4.B1"              10156.85822        170.9897795
 "BPM.33R4.B1"              10210.30674        30.93711018
 "BPM.34R4.B1"              10263.75525        170.9897772
 "BPM.33L5.B1"              10317.20377        30.93710982
 "BPM.32L5.B1"              10370.65229        170.9897798
 "BPM.31L5.B1"               10424.1008         30.9371101
 "BPM.30L5.B1"              10477.54932         170.989777
 "BPM.29L5.B1"              10530.99783         30.9371099
 "BPM.28L5.B1"              10584.44635        170.9897799
 "BPM.27L5.B1"              10637.89486        30.93711002
 "BPM.26L5.B1"              10691.34338         170.989777
 "BPM.25L5.B1"               10744.7919        30.93710998
 "BPM.24L5.B1"              10798.24041        170.9897799
 "BPM.23L5.B1"              10851.68893        30.93710993
 "BPM.22L5.B1"              10905.13744        170.9897771
 "BPM.21L5.B1"              10958.58596        30.93711007
 "BPM.20L5.B1"              11012.03448        170.9897797
 "BPM.19L5.B1"              11065.48299        30.93710984
 "BPM.18L5.B1"              11118.93151        170.9897774
 "BPM.17L5.B1"              11172.38002        30.93711015
 "BPM.16L5.B1"              11225.82854        170.9897793
 "BPM.15L5.B1"              11279.27706        30.93710977
 "BPM.14L5.B1"              11332.72557        170.9897778
 "BPM.13L5.B1"              11386.17409        30.93711021
 "BPM.12L5.B1"               11439.6226        178.6584272
 "BPM.11L5.B1"              11493.07112        31.59891383
 "BPM.10L5.B1"              11545.85183        174.1042613
 "BPM.9L5.B1"               11584.91684        20.02145639
 "BPM.8L5.B1"               11625.37985        109.9012433
 "BPMR.7L5.B1"              11664.44586        61.13174909
 "BPM.6L5.B1"               11701.33986        180.4829181
 "BPMR.5L5.B1"              11733.23986        101.9022325
 "BPMYA.4L5.B1"             11760.64586        185.1626412
 "BPMWB.4L5.B1"             11781.78036        165.5332218
 "BPMSY.4L5.B1"             11874.56036        104.3929416
 "BPMS.2L5.B1"              11901.34586          159.36185
 "BPMSW.1L5.B1"             11911.39986        52.92505712
 "BPMSW.1R5.B1"             11954.34986        52.92505703
 "BPMS.2R5.B1"              11964.40386        59.42864314
 "BPMSY.4R5.B1"             11991.18936         187.195406
 "BPMWT.A4R5.B1"            12081.59386        79.37553857
 "BPMWT.B4R5.B1"            12083.57586        79.32022562
 "BPMWB.4R5.B1"             12083.96936        79.32102861
 "BPMYA.4R5.B1"             12105.10186         93.0041162
 "BPM.5R5.B1"               12126.21986        189.2333968
 "BPMWT.A6R5.B1"            12147.27786        122.4693812
 "BPMWT.B6R5.B1"            12153.09986        100.6051078
 "BPMR.6R5.B1"              12158.11986        83.96804877
 "BPM_A.7R5.B1"             12192.13386        117.5789267
 "BPM.8R5.B1"               12233.57285        22.50215642
 "BPM.9R5.B1"               12272.63984        125.8820314
